project_id,description,sources,factiva_sources
32,"In 2005, up to 92 Beninese people went to China and began to be trained there. It is unclear what they were studying or if they returned home.","http://english.peopledaily.com.cn/200604/03/eng20060403_255519.html, Media Report, including Wikileaks",
33,"In September of 2006, while on a three-day visit to Botswana, Chinese officials allegedly pledged $120,000 and computers to the ruling Botswana Democratic Party (BDP). According to an official Chinese source, four sets of Lenovo desktop computers were donated to Mapouka primary school for their 106th anniversary celebration.","http://www.gov.cn/gzdt/2006-10/24/content_421406.htm, Government Source (Donor/Recipient); http://allafrica.com/stories/200609070960.html, Media Report, including Wikileaks",
38,"On December 3, 2007 China and Botswana signed a 10 million RMB (8.1 million Pula) grant agreement on the construction of two primary schools one in Serowe and one in Maun in the Ngamiland district of Botswana. Chinese Ambassador to Botswana Ding Xiaowen and Botswana Finance Minister Baledzi Gaolathe signed on behalf of their respective governments. A handover ceremony for the schools was held on September 25, 2009.","http://www.sourcejuice.com/1263017/2009/10/09/aid-rural-schools-Botswana-projects-completed-handover-ceremony-held/, Media Report, including Wikileaks; http://bw.china-embassy.org/eng/sbgx/t388604.htm, Government Source (Donor/Recipient); http://global.factiva.com/aa/?ref=XNHA000020101119e6bj001qd&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=AFNWS00020091204e5c4000ph&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://jjhzj.mofcom.gov.cn/article/y/200906/20090606355723.shtml, Government Source (Donor/Recipient)","http://global.factiva.com/aa/?ref=XNHA000020101119e6bj001qd&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=AFNWS00020091204e5c4000ph&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
39,"In 2009, the Chinese government dispatched 3 senior experts in the field of agriculture economy, agriculture equipment and irrigation to provide technical assistance to Botswana and enhance the bilateral cooperation. ","http://www.sundaystandard.info/article.php?NewsID=9639&GroupID=2, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=AFNWS00020091204e5c4000ph&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://bw.china-embassy.org/eng/xwdt/t785778.htm, Government Source (Donor/Recipient); http://www.ccs.org.za/wp-content/uploads/2014/09/Rex_PhanW_Report_Final_Rex_2014.pdf, Academic Journal Article","http://global.factiva.com/aa/?ref=AFNWS00020091204e5c4000ph&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
40,"On June 15, 2009, the Industrial and Commercial Bank of China (ICBC) agreed to provide a $825-million loan for the expansion project of the Moruple B Power Station, which will be serviced over a period of 20 years and is backed by a guarantee from the Ministry of Finance. The Morupule B Power Station expansion project will be carried out by the China National Electric Equipment Corporation. African Development Bank and World Bank funding is required to close the financing gap of the project. The actual/latest estimates of financing of the total project cost were International Bank for Reconstruction and Development US$ 66.06 million, 5 percent; African Development Bank US$ 57.2 million, 4 percent; and ICBC US$ 825 million, 64 percent. When completed, the power station will have four 150 MW units. The first unit was slated to be commissioned in 2011 while the first phase of Morupule B project was expected to be completed by 2013. As of 2014 the project was finally completed, but since then has suffered from many delays and machine failures, The Morupule B power station was constructed and is operational. It was taken over by the BPC on May 2014 but with significant defects. The most serious concerns about performance and reliability were the boilers and some elements of the balance of plant. The plant has been performing well below the expected level. It was expected to operate at the annual capacity factor of about 80 percent, with annual gross generation of about 4,200 gigawatt-hour (GWh). However, the plant had been operating with the overall plant_„Žs capacity factor closer to 50 percent, reflecting poor availability and unreliability of the units due to forced outages. 'Troubled' Morupule B (Units 1-4) has a capacity to produce 600MW, but is currently operating at 21 percent capacity producing only 130MW. Groundwork to expand the plant to 900MW has already started after a tender for construction of another two units (Unit 5 and 6) was recently awarded to a joint venture between Japanese Marubeni and South Korea_„Žs Posco Energy. Another joint venture between two South Korean firms, KEPCO and Daewoo was approved to construct Unit 7 and 8 at Morupule B for a 300MW extension.","http://www.afdb.org/fileadmin/uploads/afdb/Documents/Environmental-and-Social-Assessments/ESIA%20Ex%20Summary%20Morupule%20B%20Final-22%20june09.pdf, Implementing/Intermediary Agency Source; http://www.worldbank.org/projects/P112516/botswana-morupule-b-generation-transmission-project?lang=en, Other Official Source (non-Donor, non-Recipient); http://72.167.255.126/index.php?sid=6&aid=1321&dir=2012/June/Tuesday26, Other; http://www.afdb.org/en/projects-and-operations/project-portfolio/project/p-bw-fa0-001/, Implementing/Intermediary Agency Source; http://english.peopledaily.com.cn/90001/90776/90883/7206069.html, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=AFNWS00020091204e5c4000ph&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://search.proquest.com.gate2.library.lse.ac.uk/docview/862927532/13E943EEF1E2EACFA73/5?accountid=9630, Other; http://www.sourcewatch.org/index.php/Morupule_B_power_station#cite_note-trouble-8, Media Report, including Wikileaks; http://www.mmegi.bw/index.php?aid=59519&dir=2016/april/22, Media Report, including Wikileaks; http://documents.worldbank.org/curated/en/392781485213835961/pdf/ICRR-Disclosable-P112516-01-23-2017-1485213819609.pdf, Other Official Source (non-Donor, non-Recipient); http://bw.china-embassy.org/eng/jmwl/t568176.htm, Government Source (Donor/Recipient)","http://global.factiva.com/aa/?ref=AFNWS00020091204e5c4000ph&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
41,"On September 10, 2009 a delegation from the Nantong Municipal Council of China donated table tennis equipment to Mophane Primary School in Block Five, Gaborone. The donation included five tables, paddles and balls. A representative of the Chinese embassy in Botswana, Zhou Zhigang handed over the equipment to the primary school. ","http://global.factiva.com/aa/?ref=AFNWS00020090914e59e001gt&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.jsfao.gov.cn/NewsDetail.asp?NewsID=13912, Government Source (Donor/Recipient)","http://global.factiva.com/aa/?ref=AFNWS00020090914e59e001gt&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
42," In 2009, a delegation from the Nantong Municipal Council of China donated 20,000 BWP to a primary school in Botswana for the purchase of a photocopier and computer.","http://global.factiva.com/aa/?ref=AFNWS00020090914e59e001gt&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://bw.china-embassy.org/eng/xwdt/t565043.htm, Government Source (Donor/Recipient)","http://global.factiva.com/aa/?ref=AFNWS00020090914e59e001gt&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
46,"A report made in February of 2010 stated that the Confucius Institute in the University of Botswana was officially launched in September of 2009 in order to continue educational advancement in the Chinese language, history and culture learning. 230 Botswana students have taken classes at the institute as of February 2010. ","http://english.hanban.org/article/2011-12/05/content_391834.htm, Other Official Source (non-Donor, non-Recipient); http://global.factiva.com/aa/?ref=XNEWS00020100201e62100c45&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://english.hanban.org/confuciousinstitutes/node_10897.htm, Government Source (Donor/Recipient); http://www.ub.bw/home/ac/1/fac/12/dep/93/Confucius-Institute-at-the-University-of-Botswana-(CIUB)/, Government Source (Donor/Recipient)","http://global.factiva.com/aa/?ref=XNEWS00020100201e62100c45&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
48,"In July of 2002, China donated 5 million RMB to buy goods for UNITA soldiers (National Union for the Total Independence of Angola) and their relatives, who are living in confinement areas. The Chinese deputy minister for Foreign Affairs talked with Angolan counterpart Toko Serao about the details, but they are unknown to open reports. Further details of the donation are uncertain.","http://global.factiva.com/aa/?ref=bbcap00020020718dy7i005v5&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","http://global.factiva.com/aa/?ref=bbcap00020020718dy7i005v5&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
49,"Angolan President Jose Eduardo dos Santos received a message on July 18, 2002 sent by Chinese President Jiang Zemin, congratulating him on the re-establishment of peace in his country. The Chinese deputy minister for foreign affairs, Yang Wenchang, who arrived in Angola on July 16, presented the message to the Angolan president. Wenchang later announced the arrival of medicines in Luanda, 3,000 wheelchairs, tents and food. The donation, valued at approximately 300,000 dollars, was in response to the appeal made by the Angolan authorities to the international community for emergency assistance to the displaced persons, the UNITA soldiers and their families.","http://global.factiva.com/aa/?ref=bbcap00020020719dy7j0038r&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=bbcap00020020718dy7i005v5&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","http://global.factiva.com/aa/?ref=bbcap00020020719dy7j0038r&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=bbcap00020020718dy7i005v5&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
51,"In 2002, Chinese Ambassador to Angola donated 19 computers to Angola's ruling Popular Movement for the Liberation of Angola (MPLA) political party. It is unclear how much the computers were worth or where they were ultimately used.","http://global.factiva.com/aa/?ref=bbcapp0020020308dy38005k1&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","http://global.factiva.com/aa/?ref=bbcapp0020020308dy38005k1&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
53,"In July of 2008, China's Exim Bank provided a $16.6 million concessional loan to Sierra Leonean telecommunication company Sierratel for a revamping of its network. The project, also known as the Sierra Leone Rural and Sub-urban Telecommunication CDMA Network Project, was contracted to Chinese company Huawei Technologies. The network construction will result in an improved and efficient telecommunication system with upgraded internet, fax, and telephone lines. The project is expected be completed in 2008.","http://www.cellular-news.com/story/32295.php, Media Report, including Wikileaks; http://www.cellular-news.com/story/37292.php, Media Report, including Wikileaks; http://tech.163.com/09/0428/00/57UP8S4G000915BE.html, Media Report, including Wikileaks; http://www.cctime.com/html/2009-4-28/20094281436163117.htm, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=STELEB0020090428e54s00002&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=AFNWS00020080709e479000kx&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.telecompaper.com/news/china-to-help-finance-sierratel-cdma-network, Media Report, including Wikileaks; http://bintumani.websitetoolbox.com/post?id=5739029#post1272535041, Social Media, including Unofficial Blogs; http://www.tmcnet.com/usubmit/2009/04/30/4158315.htm, Other Official Source (non-Donor, non-Recipient); http://www.mofed.gov.sl/index.php?option=com_docman&task=doc_download&gid=18&Itemid=, Government Source (Donor/Recipient)","http://global.factiva.com/aa/?ref=STELEB0020090428e54s00002&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=AFNWS00020080709e479000kx&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
57,"In 2004, six Angolan journalists with state-run media institutions left from Luanda for China for an interchange and study visit. The journalists will be in China for 15 days, visiting Beijing and Hong-Kong. The project was organized by the Chinese Embassy in Angola.","http://global.factiva.com/aa/?ref=AFNWS00020040907e0970013r&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks","http://global.factiva.com/aa/?ref=AFNWS00020040907e0970013r&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
59,"In 2005, China donated 46 containers (960 tons) of agricultural and other inputs worth roughly $1.0003 million USD to Angola. These containers are mainly for farmers of the northern Malanje province. The donation includes 150,000 hoes and handles, 159,000 axes, 218,697 cutlasses, 50 scythes, and 1,000 plows. Chinese Ambassador to Angola, Zhang Beisan, handed over the deal to the Social Welfare Deputy Minister Maria da Luz.","http://books.google.com/books?id=9V6KiGcOsKYC&pg=PA162, Other; http://allafrica.com/stories/200507250201.html, Media Report, including Wikileaks; http://www.mbendi.com/indy/agff/af/an/p0005.htm, Media Report, including Wikileaks; www.ccs.org.za/wp-content/uploads/2009/04/dfid-3rd-edition.pdf, Other Academic (Working Paper, Dissertation)",
63,"(PPIAF) Supply of CDMA 2000 network to Angola's fixed-line telecom operator Mundo Startel. Following the completion, the network was to cover Angola's eight major provinces, and offer more advanced telecom services for customers, including voice, data; Political/Resource Considerations: Commercial; Total Project Cost: USD 69 Million; Project was verified as 'completed' by PPIAF-ID:11 or project ID# 907. PPIAF-ID:11 ZTE Corporation International (China) had signed an agreement with Mundo Startel, the Angolan fixed-line telecommunication utility, for the sale of telecommunications equipment. ZTE would invest US$400 million to build Angola's telecom network, upgrade the military telecommunications system, and construct a mobile phone factory. ","http://books.google.com/books/about/What_Drives_China_s_Growing_Role_in_Afri.html?id=tbeeX46Xqf8C, Other; http://global.factiva.com/aa/?ref=AFNWS00020050225e12p001vc&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://ao.mofcom.gov.cn/aarticle/sqfb/200507/20050700159838.html, Government Source (Donor/Recipient); http://www.ide.go.jp/English/Data/Africa_file/Manualreport/cia_09.html, NGO/Civil Society/Advocacy","http://global.factiva.com/aa/?ref=AFNWS00020050225e12p001vc&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
65,"A complementary individual financing accord was signed in July of 2008 by the Angolan Finance minister, Jose Pedro de Morais, and the chairman of Eximbank, Li Ruogu. The protocol is designed for the rehabilitation of the residual waters treatment station in Quifangondo (Luanda), the construction of a distribution centre in Cacuaco district, as well as the execution of new house plumbing works, estimated at USD 28.798 million. OVERVIEW: New Exim Bank head, Li Ruogu, and JosÍ© Pedro de Morais sign a _„ñComplementary Individual Financing MOU_„, which sees the disbursement of a separate US$134 million loan to three communal development projects in Angola. The terms of the loan are the same as the September 2007 Exim Bank loan that initiated a wave of development projects. These terms are a 15 year repayment period and a interest rate of Libor pls 1.25 (Campos and Vines).The credit will fund the modernisation of the electricity system in two towns in Lunda Norte and Luanda Sul provinces, the construction of a water treatment plant and canals in the Luanda area and a road upgrade projects in two other provinces. See Project ID#64 and ID#66 for the related projects described above. ","http://www.ide.go.jp/English/Data/Africa_file/Manualreport/cia_11.html, Other Official Source (non-Donor, non-Recipient); http://global.factiva.com/aa/?ref=AFNWS00020080704e474000qw&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; https://www.chathamhouse.org/sites/files/chathamhouse/public/Research/Africa/250713summary.pdf, Other Academic (Working Paper, Dissertation); https://csis-prod.s3.amazonaws.com/s3fs-public/legacy_files/files/media/csis/pubs/080603_campos_angolachina.pdf, Government Source (Donor/Recipient)","http://global.factiva.com/aa/?ref=AFNWS00020080704e474000qw&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
66,"A complementary individual financing accord was signed in July of 2008 by the Angolan Finance minister, Jose Pedro de Morais, and the chairman of Eximbank, Li Ruogu. It is designed to improve the streets of the cities of Caxito (Bengo), Uige and Negage (Uige), a contract estimated at around US$56 million. As of June 3, 2009, the Chinese company China Road and Bridge Corporation (CRBC) is rebuilding the national road that links the Angolan city of UÍ_ge to the municipality of Maquela do Zombo. Reconstruction work on the road, as well as the Negage-Bungo section, began in 2008, is estimated to cost US$79.6 million and is due to be concluded in 2010. The minister for Public Works, Higino Carneiro, visited the project_„Žs workshop along with directors from the Angolan National Roads Institute (INEA), the Mota-Engil group and officials from China_„Žs CRBC. No verification that the project has been completed. OVERVIEW: New Exim Bank head, Li Ruogu, and JosÍ© Pedro de Morais sign a _„ñComplementary Individual Financing MOU_„, which sees the disbursement of a separate US$134 million loan to three communal development projects in Angola. The terms of the loan are the same as the September 2007 Exim Bank loan. The credit will fund the modernisation of the electricity system in two towns in Lunda Norte and Luanda Sul provinces, the construction of a water treatment plant and canals in the Luanda area and a road upgrade projects in two other provinces. See Project ID#64, ID#65, ID#34853 for the related projects described above. NOTE: This project is part of the USD 500 million loan provided to Angola by China on September 28, 2007 (Project ID #34030). Please refer to the appendix in 'Uncovering African Agency' by Lucy Corkin for further information. ","http://www.ide.go.jp/English/Data/Africa_file/Manualreport/cia_11.html, Other Official Source (non-Donor, non-Recipient); http://www.macauhub.com.mo/en/2009/06/03/7165/, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=AFNWS00020080704e474000qw&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://repository.up.ac.za/bitstream/handle/2263/17253/Kiala_China(2010).pdf?sequence=1, Academic Journal Article; https://www.chathamhouse.org/sites/files/chathamhouse/public/Research/Africa/250713summary.pdf, Other Academic (Working Paper, Dissertation); http://www.minfin.gv.ao/fsys/China-Relatorio_do_II_trim_2008SitedoMINFIN2.pdf, Government Source (Donor/Recipient); http://www.ipim.gov.mo/en/ccpsc/06-08_2.htm, Media Report, including Wikileaks","http://global.factiva.com/aa/?ref=AFNWS00020080704e474000qw&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks"
